tanggal,produk,jumlah,harga_satuan
2025-01-01,Meja Kayu,5,850000
2025-01-02,Kursi Kayu,3,250000
2025-01-02,Meja Makan,2,1200000
2025-01-03,Meja Kayu,10,850000
2025-01-03,Rak Buku,1,400000
2025-01-03,Meja Kayu,2,850000
2025-01-03,Kursi Kayu,4,250000
2025-01-03,Kursi Rotan,10,300000
2025-01-04,Kursi Rotan,4,300000
2025-01-05,Rak Buku,4,400000
2025-01-05,Rak Buku,10,400000
2025-01-05,Lemari Kayu,1,1500000
2025-01-05,Kursi Kayu,7,250000
2025-01-05,Lemari Kayu,5,1500000
2025-01-06,Kursi Kayu,6,250000
2025-01-06,Meja Kayu,2,850000
2025-01-07,Meja Kayu,6,850000
2025-01-07,Lemari Kayu,10,1500000
2025-01-07,Lemari Kayu,1,1500000
2025-01-07,Meja Makan,8,1200000
2025-01-08,Meja Kayu,7,850000
2025-01-08,Meja Kayu,9,850000
2025-01-08,Lemari Kayu,10,1500000
2025-01-08,Lemari Kayu,10,1500000
2025-01-08,Kursi Kayu,2,250000
2025-01-09,Meja Makan,4,1200000
2025-01-10,Meja Kayu,4,850000
2025-01-10,Meja Kayu,7,850000
2025-01-10,Lemari Kayu,8,1500000
2025-01-11,Kursi Kayu,6,250000
2025-01-11,Lemari Kayu,4,1500000
2025-01-11,Meja Makan,5,1200000
2025-01-12,Kursi Rotan,3,300000
2025-01-13,Meja Makan,4,1200000
2025-01-13,Kursi Kayu,8,250000
2025-01-13,Rak Buku,5,400000
2025-01-13,Meja Makan,9,1200000
2025-01-13,Kursi Kayu,6,250000
2025-01-14,Kursi Kayu,1,250000
2025-01-15,Rak Buku,5,400000
2025-01-15,Meja Kayu,4,850000
2025-01-15,Kursi Rotan,6,300000
2025-01-16,Meja Makan,8,1200000
2025-01-16,Rak Buku,8,400000
2025-01-17,Lemari Kayu,3,1500000
2025-01-17,Kursi Kayu,9,250000
2025-01-18,Lemari Kayu,10,1500000
2025-01-18,Rak Buku,10,400000
2025-01-18,Rak Buku,6,400000
2025-01-18,Kursi Kayu,3,250000
2025-01-18,Kursi Rotan,8,300000
2025-01-19,Meja Kayu,2,850000
2025-01-20,Meja Makan,3,1200000
2025-01-20,Meja Makan,7,1200000
2025-01-21,Meja Kayu,7,850000
2025-01-21,Rak Buku,10,400000
2025-01-21,Rak Buku,9,400000
2025-01-21,Lemari Kayu,9,1500000
2025-01-21,Meja Kayu,2,850000
